model,parameter_name,parameter_value,status,objective_value,expected_return,variance,standard_deviation,annualized_return,annualized_volatility,solve_time_sec,n_assets,max_weight,min_weight,active_assets_1pct,budget_error,min_weight_violation
QP_A2,gamma,0.018685716353418327,optimal,-0.0035903457042281996,0.0036007445214081657,0.001113022989318808,0.03336199918048689,0.9073876193948578,0.529605318429054,0.10226300000067567,76,0.9999996884547955,2.0291887962731917e-09,1,0.0,0.0
QP_A2,gamma,0.025670881769451127,optimal,-0.0035864593797712775,0.0036007455401393185,0.0011130235831395465,0.03336200808014329,0.9073878761151083,0.5296054597067196,0.0184095000004163,76,0.9999999922201878,0.0,1,0.0,0.0
QP_A2,gamma,0.035267268236177804,optimal,-0.003581118884506727,0.0036007455421223243,0.0011130235896139543,0.03336200817717594,0.9073878766148257,0.529605461247065,0.01637730000038573,76,0.9999999958853928,0.0,1,0.0,0.0
QP_A2,gamma,0.048451012318659004,optimal,-0.0035737819807217268,0.003600745543756407,0.001113023594949149,0.033362008257135076,0.9073878770266145,0.529605462516377,0.017792200000258163,76,0.9999999989056816,0.0,1,0.0,0.0
QP_A2,gamma,0.06656315365800686,optimal,-0.0035637023501174083,0.003600745542165931,0.001113023589756328,0.03336200817930971,0.9073878766258145,0.5296054612809377,0.017909600001075887,76,0.9999999959659913,0.0,1,0.0,0.0
QP_A2,gamma,0.09144604442440388,optimal,-0.0035498547148126503,0.003600745533761684,0.001113023577091186,0.033362007989495866,0.9073878745079443,0.5296054582677362,0.016497099999469356,76,0.9999999890036051,0.0,1,0.0,0.0
QP_A2,gamma,0.12563075186964398,optimal,-0.0035308305080832213,0.0036007455025928044,0.001113023550767634,0.03336200759498196,0.9073878666533867,0.5296054520050221,0.017495899999630637,76,0.9999999749842216,0.0,1,0.0,0.0
QP_A2,gamma,0.17259451641322265,optimal,-0.003504694629571588,0.003600745521336027,0.0011130235685115081,0.033362007860911314,0.9073878713766789,0.5296054562265198,0.016867300000740215,76,0.9999999845183027,0.0,1,2.220446049250313e-16,0.0
QP_A2,gamma,0.23711445368744968,optimal,-0.003468788485620543,0.0036007454643432373,0.0011130234914215208,0.03336200670555536,0.9073878570144958,0.5296054378858125,0.016869499999302207,76,0.9999999420960033,1.5413707647741377e-10,1,0.0,0.0
QP_A2,gamma,0.3257534788236783,optimal,-0.003419459849334172,0.00360074549621178,0.0011130235468326316,0.033362007536007654,0.9073878650453685,0.529605451068834,0.017401899998731096,76,0.999999972938638,0.0,1,0.0,0.0
QP_A2,gamma,0.44752788079972383,optimal,-0.003351688924048869,0.003600742729212177,0.0011130202766274594,0.03336195852505454,0.9073871677614685,0.5296046730440732,0.01683010000124341,76,0.9999981913955927,3.914514060648189e-09,1,0.0,0.0
QP_A2,gamma,0.6148244519638688,optimal,-0.003258589909898724,0.0035992104961841396,0.0011080254975971875,0.0332870169525175,0.9070010450384032,0.5284150124613146,0.017487599998275982,76,0.9971651185990819,2.728947904587687e-09,1,0.0,0.0
QP_A2,gamma,0.8446604623988492,optimal,-0.0031513537825797657,0.0034916253458437047,0.0008057002056567929,0.028384858739419382,0.8798895871526136,0.4505956633452122,0.01722180000069784,76,0.7983122829380606,0.0,2,0.0,0.0
QP_A2,gamma,1.1604146426852993,optimal,-0.003038797829724166,0.00341339996744741,0.0006456349700060865,0.025409348083059637,0.8601767917967473,0.40336089602430947,0.01655439999922237,76,0.6537302711700432,2.793123242973189e-09,2,0.0,0.0
QP_A2,gamma,1.5942052492124372,optimal,-0.0029094782004086685,0.003356223599523828,0.0005604615827144983,0.02367406983842234,0.8457683470800046,0.37581420787944353,0.017513900000267313,76,0.5480482769296902,0.0,2,1.1102230246251565e-16,0.0
QP_A2,gamma,2.190157106890055,optimal,-0.002750236679033782,0.003314698570066392,0.0005154533269211756,0.02270359722425448,0.8353040396567308,0.36040843273172213,0.020808299999771407,76,0.5287028334863058,0.0,2,0.0,0.0
QP_A2,gamma,3.0088899501683994,optimal,-0.0025448760749732686,0.003283412723405529,0.0004909030636907982,0.022156332360993285,0.8274200062981933,0.3517208723548848,0.01584749999892665,76,0.5838753795412943,3.5470851341107944e-09,2,0.0,0.0
QP_A2,gamma,4.133684612735351,optimal,-0.0022959965389499105,0.003137779357502546,0.00040727965318754347,0.020181170758594345,0.7907203980906417,0.3203661539602162,0.016881300000022748,76,0.5442422766720842,2.7987060851467278e-09,3,0.0,0.0
QP_A2,gamma,5.678954285652319,optimal,-0.002002387782298007,0.002996824547831309,0.0003502182659413273,0.018714119427355572,0.7551997860534898,0.297077436062072,0.01688769999964279,76,0.5017981235017343,3.001233572910691e-08,4,2.220446049250313e-16,0.0
QP_A2,gamma,7.80188253336239,optimal,-0.0016696553556149608,0.002788059943142444,0.0002867012113116886,0.01693225358042126,0.702591105671896,0.26879119265806595,0.017022400001224014,76,0.4296426880904759,1.1014643421411984e-08,4,2.220446049250313e-16,0.0
QP_A2,gamma,10.718411877019252,optimal,-0.0012928521299504718,0.002530065840563463,0.00023085765402699766,0.015194000593227501,0.6375765918219928,0.241197281939087,0.0168496000005689,76,0.35049878353393943,2.707883277530745e-08,5,1.1102230246251565e-16,0.0
QP_A2,gamma,14.725209290726832,optimal,-0.0008836891066434725,0.0022243696066985025,0.00018209323535140506,0.0134941926528194,0.5605411408880226,0.21421366741773057,0.016976999999315012,76,0.26990575465214417,6.003288554687891e-09,8,2.220446049250313e-16,0.0
QP_A2,gamma,20.22984292296182,optimal,-0.0004381253802998445,0.0018988556285205042,0.00014441340522060867,0.012017212872401348,0.47851161838716705,0.19076734027498887,0.016531100000065635,76,0.1992498280861603,2.1247266569443234e-08,12,2.220446049250313e-16,0.0
QP_A2,gamma,27.79223959454558,optimal,3.8781250365417085e-05,0.0015202517447089514,0.00011219196575527814,0.010592070890778542,0.3831034396666558,0.1681439126769985,0.0166704999992362,76,0.1472518548633497,4.988216827902863e-09,16,0.0,0.0
QP_A2,gamma,38.181640095875714,optimal,0.0005650595677951606,0.0012152020692881716,9.325223501945124e-05,0.009656719682141096,0.30623092146061925,0.15329567255764825,0.016427000000476255,76,0.12543270024754427,1.5060751280129803e-09,18,0.0,0.0
