model,parameter_name,parameter_value,status,objective_value,expected_return,variance,standard_deviation,annualized_return,annualized_volatility,solve_time_sec,n_assets,max_weight,min_weight,active_assets_1pct,budget_error,min_weight_violation
SOCP_B,sigma_max,0.008207054253724429,optimal,0.00012638648479558422,0.00012638648484726063,6.735574401461898e-05,0.008207054527333115,0.03184939418150968,0.13028295165402104,0.014004200000272249,76,0.10511934498303249,9.971866175808952e-10,21,2.220446049250313e-16,0.0
SOCP_B,sigma_max,0.010493868254034488,optimal,0.001491077072135343,0.0014910770790941095,0.00011012135065614668,0.01049387205259082,0.37575142393171557,0.16658505444771737,0.01489459999902465,76,0.14518793368648988,1.5949464657639922e-08,16,1.1102230246251565e-16,0.0
SOCP_B,sigma_max,0.012780682254344547,optimal,0.0020756405544390573,0.002075640554627691,0.0001633458398892681,0.012780682293573693,0.5230614197661781,0.20288704160713558,0.012757399999827612,76,0.23495684433406663,4.30664437131456e-10,9,1.1102230246251565e-16,0.0
SOCP_B,sigma_max,0.015067496254654604,optimal,0.002509303078170004,0.002509303079089472,0.00022702945310369607,0.015067496577192113,0.6323443759305469,0.23918909294140359,0.013258499999210471,76,0.344361301215246,1.4798613967643614e-09,5,1.1102230246251565e-16,0.0
SOCP_B,sigma_max,0.017354310254964665,optimal,0.0028419195443164917,0.0028419195452213195,0.00030117208600553076,0.01735431030048532,0.7161637253957726,0.27549113538078457,0.011983300000792951,76,0.4482559500839646,1.611703329631766e-09,4,0.0,0.0
SOCP_B,sigma_max,0.01964112425527472,optimal,0.0030904582224232095,0.0030904582247652497,0.00038577379010906987,0.019641124970557818,0.7787954726408429,0.3117931928498209,0.01277979999940726,76,0.5313520903828,3.0052840053413176e-09,3,0.0,0.0
SOCP_B,sigma_max,0.02192793825558478,optimal,0.0032680423984021807,0.0032680423996058645,0.0004808344210773452,0.02192793700003138,0.8235466847006778,0.3480952084006486,0.013474999999743886,76,0.5797763202068041,1.4519421437498129e-09,3,1.1102230246251565e-16,0.0
SOCP_B,sigma_max,0.02421475225589484,optimal,0.003375627503411534,0.00337562750477628,0.00058635424090171,0.02421475254677838,0.8506581312036227,0.3843972797864612,0.012873400000898982,76,0.583914275142834,1.7339572549259119e-09,2,1.1102230246251565e-16,0.0
SOCP_B,sigma_max,0.0265015662562049,optimal,0.0034440358925831058,0.0034440358977240078,0.0007023330571520702,0.02650156706974269,0.8678970462264499,0.42069933492022743,0.013306299999385374,76,0.7103577329959373,4.207641006233133e-09,2,0.0,0.0
SOCP_B,sigma_max,0.028788380256514957,optimal,0.0035012093354310435,0.003501209349768527,0.0008287708433698712,0.028788380353362557,0.8823047561416688,0.45700137038001054,0.011846200000945828,76,0.8160264834266597,0.0,2,0.0,0.0
SOCP_B,sigma_max,0.031075194256825017,optimal,0.0035527053625250345,0.003552705366660433,0.0009656673368545768,0.031075188444393654,0.8952817523984291,0.4933033234100024,0.011655199999950128,76,0.911210425698054,4.201649542313847e-09,2,2.220446049250313e-16,0.0
SOCP_B,sigma_max,0.033362008257135076,optimal,0.003600745541303261,0.003600745543646816,0.0011130235950851984,0.03336200825917406,0.9073878769989977,0.5296054625487449,0.010837900001206435,76,0.9999999989966744,0.0,1,0.0,0.0
