Epsilon	T_Value
0.01	21.479756952770067
0.012067926406393288	21.22195329130508
0.014563484775012436	19.736876333937445
0.017575106248547922	15.148445443610454
0.021209508879201904	15.377280116070521
0.025595479226995357	13.371048613568666
0.030888435964774818	12.374966579362173
0.0372759372031494	11.031494847632684
0.04498432668969444	11.804942798938695
0.054286754393238594	10.217500956170888
0.0655128556859551	8.214058542076952
0.07906043210907697	7.939191140130783
0.09540954763499938	8.104277650659702
0.1151395399326447	7.2343229514093546
0.13894954943731375	5.8579066640273645
0.16768329368110074	6.246193501933592
0.20235896477251566	5.626478902866513
0.2442053094548651	4.526105387601352
0.29470517025518095	5.086472693593045
0.35564803062231287	4.548538610225274
0.42919342601287763	3.3736967155810307
0.517947467923121	3.121940352419503
0.6250551925273969	2.7382626686609357
0.7543120063354615	2.801452887282088
0.9102981779915218	2.2480902671036818
1.0985411419875584	2.317158886721285
1.325711365590108	2.0289865614646976
1.5998587196060574	1.7500515275940425
1.9306977288832496	1.9030369690040283
2.329951810515372	1.7720844322743912
2.811768697974228	1.4871532376084995
3.3932217718953264	1.1415132400257797
4.094915062380423	1.4032472261748246
4.941713361323833	1.167604578619738
5.963623316594643	1.1755897214023188
7.196856730011514	1.0810986853572548
8.68511373751352	0.9373838998667852
10.481131341546853	0.8521431685967619
12.648552168552959	0.9111384546050272
15.264179671752318	0.6508465762533444
18.420699693267146	0.5002767085877636
22.229964825261934	0.6364144953169404
26.826957952797247	0.5689513508319342
32.374575428176435	0.5805759242346508
39.06939937054613	0.3586361454466555
47.1486636345739	0.29834476490872164
56.89866029018293	0.442925365040572
68.66488450042998	0.4050825434949066
82.86427728546842	0.22559284171242486
100.0	0.2197222061903262
