Epsilon	T_Value
0.01	15.722100981379796
0.012067926406393288	13.400199957878312
0.014563484775012436	13.718275566245786
0.017575106248547922	11.351947504423169
0.021209508879201904	10.894838197750696
0.025595479226995357	7.450608992802225
0.030888435964774818	7.8011978823981325
0.0372759372031494	7.063554663533852
0.04498432668969444	5.363835089884897
0.054286754393238594	6.336938738045795
0.0655128556859551	4.35481395707706
0.07906043210907697	4.183782480689182
0.09540954763499938	4.36009261179931
0.1151395399326447	3.463862250455475
0.13894954943731375	2.7302173611666674
0.16768329368110074	3.0007421727080295
0.20235896477251566	2.0242753097273187
0.2442053094548651	2.4720179966247273
0.29470517025518095	1.891906144299469
0.35564803062231287	1.736205323652602
0.42919342601287763	1.6765235094400004
0.517947467923121	1.6086988304868215
0.6250551925273969	1.4134381063168953
0.7543120063354615	1.2043138523931416
0.9102981779915218	0.8896786630065582
1.0985411419875584	1.0499148619794743
1.325711365590108	0.8803371446621595
1.5998587196060574	0.8554499280330881
1.9306977288832496	0.8602724409759075
2.329951810515372	0.44313221953892473
2.811768697974228	0.6627812409992418
3.3932217718953264	0.3734493418310296
4.094915062380423	0.35107384980121026
4.941713361323833	0.36984718961308993
5.963623316594643	0.2226529637365666
7.196856730011514	0.3736838146060711
8.68511373751352	0.2803935696805105
10.481131341546853	0.3407394884280101
12.648552168552959	0.27229368763647144
15.264179671752318	0.21546454705026874
18.420699693267146	0.274246222757792
22.229964825261934	0.2389104355995512
26.826957952797247	0.28371549640061033
32.374575428176435	0.1807726461042489
39.06939937054613	0.1521467336432766
47.1486636345739	0.06709152221119175
56.89866029018293	0.10120264942955418
68.66488450042998	0.08623207640551683
82.86427728546842	0.10408275692989676
100.0	0.09581670368462991
