Epsilon	T_Value
0.01	19.803401872334483
0.012067926406393288	17.665371068413187
0.014563484775012436	15.99794966240069
0.017575106248547922	15.866732465896723
0.021209508879201904	13.954311754846586
0.025595479226995357	12.530717641351476
0.030888435964774818	11.027117926623438
0.0372759372031494	10.119113337229493
0.04498432668969444	9.480480724631464
0.054286754393238594	8.09071991764468
0.0655128556859551	8.062826913715881
0.07906043210907697	6.803959381669704
0.09540954763499938	6.017625441885443
0.1151395399326447	5.559885707676431
0.13894954943731375	4.896295811083822
0.16768329368110074	4.557850570392728
0.20235896477251566	3.898695382793941
0.2442053094548651	3.6188680201376644
0.29470517025518095	3.4032641127176637
0.35564803062231287	2.8458962928552762
0.42919342601287763	2.7230630936176805
0.517947467923121	2.3015972035463843
0.6250551925273969	2.0430724883096336
0.7543120063354615	2.052434847021651
0.9102981779915218	1.6428663545226483
1.0985411419875584	1.5212805245290746
1.325711365590108	1.3268555386045768
1.5998587196060574	1.3262421581314516
1.9306977288832496	1.077976966028124
2.329951810515372	0.9872856764438155
2.811768697974228	0.8948644916432827
3.3932217718953264	0.9237402544153449
4.094915062380423	0.7490656834031458
4.941713361323833	0.6726835164827951
5.963623316594643	0.6111814656566278
7.196856730011514	0.5037507209783021
8.68511373751352	0.4993438484648904
10.481131341546853	0.4511122801005715
12.648552168552959	0.40955439124081305
15.264179671752318	0.399598340454634
18.420699693267146	0.37473454717822086
22.229964825261934	0.3839790263472771
26.826957952797247	0.2603589800299157
32.374575428176435	0.27267868228096687
39.06939937054613	0.30108598099187145
47.1486636345739	0.25052280468434207
56.89866029018293	0.1960361618987951
68.66488450042998	0.19413941447045516
82.86427728546842	0.1497073311111893
100.0	0.15457054237924625
