# Temperature Specific_Heats
0.669750 20.873456
0.673461 2.970598
0.677171 2.990487
0.680882 3.680292
0.684592 4.331514
0.688303 3.984823
0.692013 5.217049
0.695724 8.429878
0.699434 9.466044
0.703145 15.463804
0.706855 0.492817
0.710566 0.193175
0.714276 0.239886
0.717987 0.251540
0.721697 0.173638
0.725408 0.184621
0.729118 0.139579
0.732829 0.577276
0.736539 0.184038
0.740250 0.580121
