# Temperature Specific_Heats
0.945250 2.169422
0.950487 2.074635
0.955724 2.083888
0.960961 2.320652
0.966197 2.628899
0.971434 2.636770
0.976671 3.438065
0.981908 3.772386
0.987145 7.021651
0.992382 10.664649
0.997618 10.183876
1.002855 3.818409
1.008092 2.775830
1.013329 1.851432
1.018566 3.048204
1.023803 3.428952
1.029039 4.700682
1.034276 1.247067
1.039513 2.110570
1.044750 2.158805
