# Temperature Correlation_Length Reg_R_Square
0.945250 38593.289014 0.483691
0.950487 23197.272906 0.484684
0.955724 14119.935358 0.641581
0.960961 10391.339001 0.556874
0.966197 7007.169189 0.524620
0.971434 4558.538056 0.636153
0.976671 2967.863666 0.656420
0.981908 1171.372160 0.756280
0.987145 678.347305 0.796685
0.992382 243.982406 0.879824
0.997618 99.031725 0.929609
1.002855 31.461577 0.976264
1.008092 16.812460 0.988911
1.013329 13.491451 0.997976
1.018566 11.852510 0.995587
1.023803 10.903080 0.991304
1.029039 11.393677 0.987125
1.034276 6.409976 0.704064
1.039513 7.023644 0.989380
1.044750 3.052331 0.437946
