# Temperature Internal_Energy Specific_Heat
0.950000 -1.750172 1.957191
0.955000 -1.741397 2.183016
0.960000 -1.729615 2.365896
0.965000 -1.714644 2.878217
0.970000 -1.699393 2.552540
0.975000 -1.688523 3.096607
0.980000 -1.669956 4.001807
0.985000 -1.645386 4.569670
0.990000 -1.623196 10.440118
0.995000 -1.564976 14.303539
1.000000 -1.512584 7.124173
1.005000 -1.484096 6.770236
