,cumulative_wealth,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
0.01,"[ 0.98547059  0.9796008   0.99661323 ... 11.9244467  11.80360022
 11.75365687]",0.21564727440372766,0.1797307125399233,1.1998354168646959,0.24115905958629058,0.0
0.02,"[ 0.97058846  0.94901263  0.95550418 ... 36.65809241 36.37539358
 35.96090886]",0.21564727440372766,0.31334796034077617,0.6882038554493994,0.49718040653920537,0.0
0.03,"[ 0.95180044  0.9350223   0.94032574 ... 26.59120038 26.37525543
 26.11188933]",0.21564727440372766,0.3979857931863505,0.5418466641163602,0.6216691649917383,0.0
