,cumulative_wealth,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
0.5,"[ 0.9491031   0.93285391  0.93769714 ... 26.38418595 26.17719456
 25.91235122]",0.21564727440372766,0.4191871997675398,0.5144414584303023,0.6416162468369704,0.0
1.0,"[ 0.95523024  0.93777555  0.94366716 ... 26.45432102 26.23021584
 25.97269995]",0.21564727440372766,0.37347955380210174,0.5774004820568952,0.5951116974568472,0.0
2.0,"[ 0.96516486  0.94572555  0.95333959 ... 23.69040585 23.46566451
 23.24669655]",0.21564727440372766,0.32320790068465394,0.6672091676809888,0.5230020235363796,0.0
5.0,"[ 0.97197706  0.95050238  0.9578661  ... 39.91040646 39.61910313
 39.15953204]",0.21564727440372766,0.3081489011712638,0.6998151659280935,0.48261947669885086,0.0
