Date,AAPL,ABBV,ABT,ADI,AMAT,AMD,AMGN,AMZN,ANET,APH,AVGO,AXP,BA,BAC,BLK,BRK-B,BX,C,CAT,COST,CRM,CSCO,CVX,DE,DIS,ETN,GE,GILD,GOOG,GOOGL,GS,HD,IBM,INTC,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LRCX,MA,MCD,META,MRK,MS,MSFT,MU,NEE,NFLX,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SCHW,STX,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,V,VZ,WDC,WELL,WFC,WMT,XOM
2015-01-02,24.21489143371582,41.41191101074219,36.009220123291016,44.21603775024414,21.737468719482425,2.6700000762939453,115.6352767944336,15.425999641418455,3.9175000190734863,12.062366485595703,7.54451322555542,79.04021453857422,113.65721130371094,14.123805046081545,269.71539306640625,149.1699981689453,19.22088050842285,40.01399993896485,69.02713012695312,113.81511688232422,58.382843017578125,19.60390853881836,69.52938079833984,72.45176696777344,85.3659439086914,52.05255508422852,102.43072509765624,65.56652069091797,25.95556259155273,26.260459899902344,155.55520629882812,79.37126159667969,97.56674194335938,27.896453857421875,58.39666748046875,76.54861450195312,46.27431106567383,56.810035705566406,29.58001136779785,105.96891021728516,57.380958557128906,6.795444488525391,79.84828186035156,70.27789306640625,77.83916473388672,38.48434829711914,28.405527114868164,39.7676887512207,33.89122772216797,19.897178649902344,4.984857082366943,0.4829852879047394,37.35355758666992,67.28346252441406,18.381013870239254,65.55575561523438,46.5179328918457,53.98833084106445,55.5850715637207,26.35828971862793,39.58036422729492,11.403403282165527,29.10957145690918,123.7985610961914,26.248476028442383,14.620667457580566,39.102760314941406,83.8287582397461,92.18087768554688,61.214725494384766,25.732967376708984,69.8088150024414,49.9707260131836,39.96331024169922,23.17168617248535,57.53343200683594
2015-01-05,23.53272247314453,40.632572174072266,36.01723861694336,43.41197967529297,21.040752410888672,2.6600000858306885,114.26115417480467,15.10949993133545,3.987499952316284,11.841991424560549,7.423911094665527,76.94989776611328,112.87003326416016,13.713497161865234,262.73681640625,147.0,18.93930053710937,38.75295639038086,65.38348388671875,112.52117156982422,57.32832336425781,19.213397979736328,66.75018310546875,70.90167236328125,84.11845397949219,49.89936065673828,100.55048370361328,66.86526489257812,25.414499282836918,25.760093688964844,150.69830322265625,77.70601654052734,96.03156280517578,27.58189010620117,57.1522216796875,76.01397705078125,44.83773422241211,55.541141510009766,29.58001136779785,103.1718978881836,56.81583404541016,6.712477684020996,77.60233306884766,69.501708984375,76.58897399902344,39.05632400512695,27.51762962341309,39.4019889831543,32.94519805908203,19.686437606811523,4.731142997741699,0.4748274981975555,36.8297004699707,66.77763366699219,18.28127670288086,65.24407196044922,46.16769409179688,53.73394775390625,54.65737533569336,25.477354049682617,39.37052917480469,11.295665740966797,28.784029006958008,122.0979232788086,25.892728805541992,14.005999565124512,38.495872497558594,82.44799041748047,89.06439208984375,59.86349868774414,25.519269943237305,68.88587951660156,50.5876350402832,38.867408752441406,23.1042423248291,55.95920181274414
2015-01-06,23.534942626953125,40.431453704833984,35.60821533203125,42.39295196533203,20.248239517211918,2.630000114440918,110.58000946044922,14.76449966430664,3.988125085830689,11.691325187683104,7.25506067276001,75.30999755859375,111.5406265258789,13.30320167541504,258.6540222167969,146.83999633789062,18.57323455810547,37.38867568969727,64.9627456665039,114.00807189941406,56.37236022949219,19.20629501342773,66.71931457519531,70.3111801147461,83.6722640991211,49.339969635009766,98.38417053222656,67.45936584472656,24.825464248657227,25.12434959411621,147.64979553222656,77.4681167602539,93.96053314208984,27.067852020263672,57.75444412231445,75.64047241210938,43.675140380859375,53.90043258666992,29.80463981628418,101.85084533691406,57.10248947143555,6.600431442260742,77.4345932006836,69.62981414794922,75.55706024169922,40.5905876159668,26.725120544433597,38.823673248291016,32.05768203735352,19.76289939880371,4.650143146514893,0.4604315161705017,36.449485778808594,66.27177429199219,18.433820724487305,64.9468765258789,46.56386566162109,52.97077941894531,53.88428497314453,24.544086456298828,38.28538513183594,11.312495231628418,28.642690658569336,120.95773315429688,25.835041046142575,14.085332870483398,37.85977554321289,82.2815933227539,87.22247314453125,59.47777557373047,25.77681541442871,67.34974670410156,51.3084716796875,38.05646896362305,23.282283782958984,55.66170501708984
2015-01-07,23.86494827270508,42.065555572509766,35.89692306518555,42.83876419067383,20.439836502075195,2.5799999237060547,114.44198608398438,14.92099952697754,4.071249961853027,11.89146327972412,7.451046943664551,76.95475769042969,113.27237701416016,13.366324424743652,264.1280517578125,148.8800048828125,18.837921142578125,37.73528289794922,65.96945190429688,115.99327087402344,56.10626602172852,19.383804321289062,66.6637191772461,70.00775146484375,84.52822875976562,49.48555755615234,98.42501831054688,68.72357940673828,24.782934188842773,25.05045890808105,149.8501739501953,80.12330627441406,93.34646606445312,27.63561248779297,58.07110977172852,77.31029510498047,43.74177169799805,54.79756546020508,30.176681518554688,102.99246978759766,56.701168060302734,6.634644031524658,78.63909912109375,70.84307098388672,75.55706024169922,41.45865249633789,27.106698989868164,39.31695556640625,31.30671501159668,19.943803787231445,4.674285888671875,0.4592319130897522,36.45794677734375,68.2096176147461,18.68609619140625,65.28754425048828,46.914093017578125,53.58858108520508,54.46894836425781,25.023799896240234,38.53119659423828,11.378453254699709,29.22950553894043,124.58126068115234,27.16188621520996,14.063332557678224,38.53976440429688,83.12173461914062,87.70433044433594,60.27465438842773,25.61047744750977,68.36117553710938,51.78252029418945,38.2829475402832,23.900014877319336,56.2257080078125
2015-01-08,24.781888961791992,42.5055046081543,36.63475799560547,43.59507369995117,21.09300422668457,2.609999895095825,114.02972412109376,15.02299976348877,4.132500171661377,12.123085975646973,7.823408603668213,78.04559326171875,115.2752685546875,13.64248752593994,267.2128295898437,151.3699951171875,18.984350204467773,38.30310821533203,66.64562225341797,116.9898452758789,57.74224853515625,19.532915115356445,68.18922424316406,70.93450164794922,85.40235137939453,51.255638122558594,99.6103744506836,70.67170715332031,24.86107635498047,25.137741088867188,152.24258422851562,81.8959732055664,95.37532806396484,28.149642944335938,59.22222137451172,77.91817474365234,44.71924591064453,55.71083450317383,30.54167938232422,104.68866729736328,58.04437255859375,6.8065619468688965,79.86228942871094,71.1068115234375,77.5712661743164,42.29307174682617,27.51029586791992,40.47357177734375,32.83791732788086,20.065025329589844,4.777999877929688,0.4765070080757141,36.67763137817383,69.4493179321289,19.067441940307617,66.03416442871094,47.62030792236328,54.155494689941406,55.39664840698242,25.677963256835938,39.22664642333984,11.491658210754396,29.383703231811523,125.8760757446289,27.90222930908203,14.041333198547363,39.16854476928711,87.08943939208984,90.99179077148438,61.08309173583984,26.159385681152344,69.77721405029297,51.56823348999024,39.13043594360352,24.404451370239254,57.16157531738281
2015-01-09,24.808469772338867,41.34278869628906,36.24980163574219,43.563232421875,21.11042022705078,2.630000114440918,112.62667846679688,14.846500396728516,4.151249885559082,12.05337619781494,7.907077789306641,77.05701446533203,115.04783630371094,13.397882461547852,264.0449523925781,149.47000122070312,19.26593017578125,37.44768524169922,65.84925079345703,115.18950653076172,57.3184700012207,19.73171806335449,66.83048248291016,70.24559020996094,85.82122039794922,50.6196403503418,98.22069549560548,70.60955047607422,24.539112091064453,24.830774307250977,149.90615844726562,80.49166870117188,95.79071807861328,28.203350067138672,57.87444305419922,76.85623931884766,43.94171905517578,55.90483474731445,30.204729080200195,103.27789306640624,57.27450180053711,6.819390773773193,78.84454345703125,70.24020385742188,77.13468933105469,42.097938537597656,27.06266593933105,40.13338470458984,32.70137023925781,19.887853622436523,4.704143047332764,0.4784265458583832,36.66072463989258,68.97905731201172,19.155447006225582,65.41802215576172,47.49399566650391,54.09008407592773,55.09223556518555,24.81447029113769,39.8321647644043,11.457354545593262,29.01961708068848,125.37356567382812,28.123369216918945,13.77733325958252,39.19048690795898,86.27426147460938,89.35968780517578,60.17763900756836,25.92652702331543,70.94036102294922,51.62018203735352,38.48751449584961,24.102325439453125,57.08098220825195
2015-01-12,24.197168350219727,41.33021545410156,36.55456161499024,43.125370025634766,20.60531234741211,2.630000114440918,112.9810791015625,14.570500373840332,4.129374980926514,11.907207489013672,7.775922298431396,76.2729721069336,114.46186065673828,13.161172866821287,262.3058166503906,148.27999877929688,19.344772338867188,37.15269088745117,65.27828216552734,114.54659271240234,56.89469146728516,19.916318893432617,65.39146423339844,70.08152770996094,86.012451171875,50.17520523071289,98.01628112792967,69.918701171875,24.36007308959961,24.64927101135254,148.08187866210938,80.1309585571289,94.1833038330078,28.08059501647949,58.38999938964844,76.59256744384766,43.56406021118164,54.22372055053711,29.930984497070312,103.049560546875,56.85678482055664,6.612405776977539,77.83610534667969,70.08948516845703,76.12263488769531,41.92295837402344,26.68842315673828,39.63161849975586,30.877588272094727,19.83750343322754,4.554714202880859,0.4724282026290893,36.55934143066406,68.69408416748047,19.225845336914062,65.17884063720703,47.68345260620117,53.47228240966797,55.30002212524414,24.57025146484375,38.99283981323242,11.488224029541016,28.869709014892575,124.1657485961914,28.142597198486328,13.480667114257812,38.83953475952149,85.30109405517578,88.57475280761719,60.05984115600586,26.10395050048828,69.73929595947266,52.39944839477539,38.02723693847656,24.283056259155277,55.984004974365234
2015-01-13,24.412012100219727,40.13976287841797,35.96601486206055,42.63179016113281,20.31791305541992,2.6600000858306885,112.19995880126952,14.737000465393066,4.07937479019165,11.880223274230955,7.732201099395752,76.04286193847656,114.7242431640625,12.979696273803713,263.0997619628906,148.6300048828125,19.19271850585937,36.88720703125,64.88761901855469,113.3972396850586,57.13121795654297,19.951831817626957,64.35391998291016,70.44239044189453,86.67716217041016,50.15987396240234,97.52579498291016,67.15540313720703,24.539608001708984,24.88433265686035,147.96990966796875,79.60148620605469,94.40606689453124,28.00385856628418,57.96222305297852,76.72438049316406,43.57146835327149,53.33466720581055,29.923961639404297,102.34012603759766,56.824012756347656,6.548258304595947,78.01351165771484,69.95384979248047,75.85472106933594,41.84896469116211,26.438934326171875,39.42750930786133,30.077856063842773,19.915830612182617,4.625570774078369,0.4717084467411041,36.27206802368164,68.64422607421875,19.0322380065918,65.45429229736328,47.712158203125,53.03619003295898,55.246856689453125,24.58769416809082,38.8189582824707,11.488224029541016,28.766908645629883,124.01117706298828,28.33489227294922,13.616666793823242,38.598243713378906,85.73357391357422,86.9115982055664,60.23538589477539,26.159385681152344,69.1450424194336,52.51632690429688,37.8811149597168,24.09153938293457,55.77947616577149
2015-01-14,24.318988800048828,40.3360595703125,35.699951171875,42.59993743896485,20.047931671142575,2.630000114440918,112.2144546508789,14.66349983215332,4.066249847412109,11.794771194458008,7.793260097503662,74.20209503173828,114.03330993652344,12.656188011169434,261.4136962890625,147.82000732421875,19.1195125579834,36.17189407348633,64.66222381591797,111.96665954589844,56.4216423034668,19.824020385742188,64.16860961914062,70.92630004882812,85.80300903320312,49.22502517700195,97.19879913330078,68.57160949707031,24.771560668945312,25.08913803100586,144.20921325683594,78.76502227783203,93.7979965209961,27.8887882232666,59.48444366455078,76.16777801513672,42.06823348999024,52.97904586791992,29.874834060668945,101.59805297851562,57.13526153564453,6.504636764526367,77.92949676513672,68.98175048828125,75.68605041503906,42.15175628662109,25.83722496032715,39.08731842041016,29.30738067626953,20.03891372680664,4.631999969482422,0.473627895116806,36.38191604614258,68.8722152709961,19.05570602416992,65.22956085205078,47.895904541015625,52.4910888671875,54.85064315795898,23.7503662109375,38.72303771972656,11.433344841003418,28.368558883666992,121.9433364868164,28.431041717529297,12.845999717712402,38.53976440429688,85.94986724853516,86.54634094238281,59.02965927124024,26.04295539855957,68.75945281982422,53.18522644042969,37.44276809692383,23.363204956054688,55.61831283569336
2015-01-15,23.65896224975586,39.823150634765625,35.43389892578125,41.978946685791016,20.31791305541992,2.5199999809265137,109.87120819091795,14.34749984741211,3.950624942779541,11.67782974243164,7.637228488922119,73.1879653930664,113.8233871459961,11.99339199066162,258.918701171875,147.5800018310547,18.849193572998047,34.8297233581543,63.86695098876953,111.96665954589844,54.31260681152344,19.461902618408203,63.408966064453125,71.51681518554688,85.91228485107422,49.09477615356445,96.3813247680664,67.2866439819336,24.817058563232425,24.993927001953125,142.8169708251953,77.51416015625,93.05750274658205,27.76603126525879,58.264442443847656,75.0618896484375,40.720516204833984,54.0459098815918,29.748483657836918,101.50019073486328,57.11886978149414,6.5585222244262695,76.79966735839844,68.86116790771484,73.47342681884766,41.64033889770508,25.374927520751957,38.6790885925293,28.575912475585938,19.962451934814453,4.625143051147461,0.4702688753604889,36.018585205078125,68.8722152709961,19.008769989013672,65.13534545898438,47.55141067504883,51.88054656982422,54.85064315795898,23.26192855834961,37.33815002441406,11.409330368041992,27.961639404296875,119.94314575195312,28.056066513061523,12.791333198547363,38.305782318115234,86.88978576660156,86.11112213134766,58.468379974365234,26.11503791809082,66.18659973144531,54.00995635986328,37.05554962158203,23.570911407470703,55.1348991394043
