Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2024-03-27,GEV,115.0,135.0,115.0,131.25,130.7644805908203,4960400
2024-03-28,GEV,137.92999267578125,137.92999267578125,129.9600067138672,136.75,136.244140625,2239100
2024-04-01,GEV,141.00999450683594,144.3300018310547,137.07000732421875,142.02000427246094,141.49462890625,1029500
2024-04-02,GEV,142.85000610351562,152.47999572753906,138.63999938964844,140.0,139.4821014404297,18246100
2024-04-03,GEV,142.3000030517578,144.0,135.8000030517578,137.33999633789062,136.8319549560547,8866900
2024-04-04,GEV,136.0,139.35000610351562,125.26000213623047,126.05999755859375,125.59367370605469,14207700
2024-04-05,GEV,125.5,128.17999267578125,119.0,122.69999694824219,122.24609375,16054800
2024-04-08,GEV,126.12999725341797,131.9499969482422,125.86000061035156,129.9600067138672,129.479248046875,12195000
2024-04-09,GEV,130.8699951171875,133.60000610351562,128.25,132.1699981689453,131.68109130859375,9143500
2024-04-10,GEV,129.5,139.92999267578125,128.94000244140625,138.3699951171875,137.85813903808594,8376800
2024-04-11,GEV,139.1999969482422,139.32000732421875,136.41000366210938,136.57000732421875,136.06480407714844,5326900
2024-04-12,GEV,135.0,138.11000061035156,133.55499267578125,134.0,133.5043182373047,3765200
2024-04-15,GEV,134.60000610351562,135.32000732421875,129.85000610351562,131.75,131.2626190185547,3724900
2024-04-16,GEV,132.5,133.0500030517578,128.25,130.07000732421875,129.58883666992188,5870900
2024-04-17,GEV,132.0399932861328,138.17999267578125,131.25,134.75,134.25152587890625,6154600
2024-04-18,GEV,138.14999389648438,138.41000366210938,135.42999267578125,137.22000122070312,136.71238708496094,5022300
2024-04-19,GEV,137.25,140.58999633789062,134.90499877929688,135.10000610351562,134.60025024414062,4518800
2024-04-22,GEV,135.52000427246094,137.13999938964844,132.11000061035156,136.69000244140625,136.18435668945312,2435000
2024-04-23,GEV,138.4600067138672,148.35000610351562,137.8699951171875,147.8300018310547,147.2831573486328,4682800
2024-04-24,GEV,147.0,149.89999389648438,144.35000610351562,146.17999267578125,145.6392364501953,4684600
2024-04-25,GEV,143.0,152.13999938964844,138.67300415039062,148.30999755859375,147.76136779785156,6069300
2024-04-26,GEV,153.63999938964844,157.25,150.1999969482422,153.07000732421875,152.50375366210938,4230500
2024-04-29,GEV,153.5800018310547,159.5500030517578,153.5800018310547,159.00999450683594,158.42178344726562,5416300
2024-04-30,GEV,158.13999938964844,163.10000610351562,152.25,153.7100067138672,153.14138793945312,3490100
2024-05-01,GEV,154.19000244140625,156.6999969482422,149.42100524902344,151.6699981689453,151.1089324951172,3396800
2024-05-02,GEV,153.52999877929688,155.44000244140625,151.65899658203125,153.8300018310547,153.26095581054688,2530700
2024-05-03,GEV,155.6300048828125,167.1699981689453,155.13999938964844,166.25999450683594,165.64495849609375,4635100
2024-05-06,GEV,167.16000366210938,171.1699981689453,164.50999450683594,169.13999938964844,168.51429748535156,4007000
2024-05-07,GEV,168.66000366210938,173.5,167.1649932861328,167.36000061035156,166.74087524414062,2884800
2024-05-08,GEV,167.0,167.00999450683594,163.22500610351562,164.0,163.39332580566406,3679700
2024-05-09,GEV,165.0,168.72000122070312,164.64999389648438,166.39999389648438,165.78443908691406,4022600
2024-05-10,GEV,169.0,170.8000030517578,165.99000549316406,167.27000427246094,166.65122985839844,3459600
2024-05-13,GEV,165.0,167.5500030517578,160.17999267578125,161.52999877929688,160.93243408203125,4413800
2024-05-14,GEV,160.69000244140625,166.55499267578125,158.86000061035156,165.6300048828125,165.01730346679688,3855400
2024-05-15,GEV,168.36000061035156,172.35000610351562,166.95599365234375,167.8699951171875,167.2490234375,2572000
2024-05-16,GEV,168.02999877929688,170.0,166.35000610351562,166.39999389648438,165.78443908691406,1604400
2024-05-17,GEV,166.8800048828125,167.63999938964844,160.94000244140625,162.6199951171875,162.0184326171875,1937200
2024-05-20,GEV,163.05999755859375,164.3000030517578,160.2100067138672,160.9499969482422,160.35459899902344,1736100
2024-05-21,GEV,160.24000549316406,164.49000549316406,159.07000732421875,163.92999267578125,163.32359313964844,1945300
2024-05-22,GEV,164.2899932861328,167.36000061035156,163.0,163.85000610351562,163.24388122558594,2018900
2024-05-23,GEV,166.4199981689453,170.0,161.44000244140625,161.6699981689453,161.07192993164062,3139000
2024-05-24,GEV,162.80999755859375,177.77000427246094,162.08999633789062,177.42999267578125,176.7736358642578,4294100
2024-05-28,GEV,178.33999633789062,182.77999877929688,176.77999877929688,178.08999633789062,177.4311981201172,2632700
2024-05-29,GEV,176.0,178.69000244140625,174.0959930419922,177.32000732421875,176.6640625,1537700
2024-05-30,GEV,176.97000122070312,177.80999755859375,174.5,175.0800018310547,174.4323272705078,2034100
2024-05-31,GEV,177.10000610351562,179.76499938964844,165.39999389648438,175.89999389648438,175.24929809570312,5454900
2024-06-03,GEV,178.92999267578125,179.0,166.44000244140625,170.3699951171875,169.73973083496094,3434800
2024-06-04,GEV,168.35000610351562,169.41000366210938,161.3300018310547,163.0399932861328,162.43685913085938,5279800
2024-06-05,GEV,165.08999633789062,168.3000030517578,162.47000122070312,163.49000549316406,162.88522338867188,8005500
2024-06-06,GEV,163.25,164.1300048828125,155.5,160.30999755859375,159.71697998046875,5249000
2024-06-07,GEV,159.5,165.75999450683594,159.0399932861328,162.0800018310547,161.48043823242188,4850300
2024-06-10,GEV,161.22000122070312,170.0,160.59800720214844,166.63999938964844,166.02357482910156,4223600
2024-06-11,GEV,165.5,168.5399932861328,163.3000030517578,168.22999572753906,167.60768127441406,2036100
2024-06-12,GEV,171.5399932861328,179.22000122070312,171.15499877929688,177.52000427246094,176.86331176757812,4016500
2024-06-13,GEV,179.8000030517578,181.9600067138672,172.83999633789062,176.1699981689453,175.51828002929688,3462200
2024-06-14,GEV,174.08999633789062,174.77999877929688,166.1999969482422,170.1699981689453,169.54049682617188,3128300
2024-06-17,GEV,169.75,171.8800048828125,166.14999389648438,168.75999450683594,168.13571166992188,2804200
2024-06-18,GEV,167.94000244140625,180.25,166.3300018310547,179.57000732421875,178.90573120117188,3364900
2024-06-20,GEV,178.47000122070312,185.5,175.09500122070312,177.17999267578125,176.52456665039062,4005300
2024-06-21,GEV,177.10000610351562,177.17999267578125,170.39999389648438,175.72999572753906,175.07994079589844,3793000
2024-06-24,GEV,176.5500030517578,179.14999389648438,174.77000427246094,178.13999938964844,177.48101806640625,2552900
2024-06-25,GEV,179.8000030517578,181.5,176.27000427246094,181.4499969482422,180.77877807617188,2553400
2024-06-26,GEV,180.88999938964844,181.72500610351562,177.6199951171875,180.0,179.33413696289062,2284000
2024-06-27,GEV,178.38999938964844,179.2729949951172,173.25,176.27999877929688,175.62789916992188,2541300
2024-06-28,GEV,174.8000030517578,176.3000030517578,167.1750030517578,171.50999450683594,170.87551879882812,3783600
2024-07-01,GEV,171.0,171.1999969482422,165.1199951171875,167.52000427246094,166.9003143310547,2748200
2024-07-02,GEV,165.41000366210938,171.97999572753906,165.41000366210938,169.80999755859375,169.18182373046875,2447400
2024-07-03,GEV,170.10000610351562,174.77999877929688,169.17999267578125,172.67999267578125,172.0412139892578,1317200
2024-07-05,GEV,171.5,177.44000244140625,171.25999450683594,176.22999572753906,175.57806396484375,1629500
2024-07-08,GEV,176.80999755859375,178.60000610351562,174.1699981689453,174.3699951171875,173.72494506835938,1659100
2024-07-09,GEV,174.27999877929688,174.8300018310547,172.60000610351562,172.97999572753906,172.340087890625,1800600
2024-07-10,GEV,174.92999267578125,179.8000030517578,174.60000610351562,179.72999572753906,179.0651397705078,1835700
2024-07-11,GEV,181.0,183.16000366210938,176.5500030517578,176.6999969482422,176.0463409423828,2574500
2024-07-12,GEV,177.9499969482422,184.33099365234375,174.39999389648438,180.4499969482422,179.782470703125,1603900
2024-07-15,GEV,180.24000549316406,181.80999755859375,176.5,177.44000244140625,176.7836151123047,3026400
2024-07-16,GEV,178.77999877929688,183.88999938964844,178.17999267578125,182.74000549316406,182.0640106201172,1789700
2024-07-17,GEV,180.1999969482422,180.1999969482422,162.89999389648438,165.8300018310547,165.21656799316406,6033800
2024-07-18,GEV,168.0,171.4499969482422,159.42999267578125,161.49000549316406,160.89259338378906,4736600
2024-07-19,GEV,162.0,163.69000244140625,159.11000061035156,163.33999633789062,162.7357635498047,2547800
2024-07-22,GEV,166.3800048828125,168.25,163.6840057373047,166.75999450683594,166.1431121826172,1738600
2024-07-23,GEV,167.0,171.00999450683594,166.22000122070312,170.49000549316406,169.8593292236328,3221800
2024-07-24,GEV,167.33999633789062,172.3000030517578,162.72999572753906,162.89999389648438,162.29737854003906,5532100
2024-07-25,GEV,166.0,166.2899932861328,156.41000366210938,160.0,159.4081268310547,5163200
2024-07-26,GEV,168.4600067138672,173.9759979248047,163.69000244140625,173.11000061035156,172.46963500976562,3871900
2024-07-29,GEV,174.32000732421875,174.77000427246094,169.85000610351562,172.0500030517578,171.41354370117188,1757800
2024-07-30,GEV,172.92999267578125,174.07000732421875,162.4499969482422,162.6999969482422,162.09812927246094,2639300
2024-07-31,GEV,171.25,180.2550048828125,171.25,178.24000549316406,177.5806427001953,4056500
2024-08-01,GEV,181.89999389648438,183.86000061035156,171.80999755859375,174.02999877929688,173.38621520996094,3706800
2024-08-02,GEV,168.77999877929688,169.99000549316406,161.5,164.72999572753906,164.12062072753906,3314500
2024-08-05,GEV,152.40499877929688,165.38999938964844,150.00999450683594,162.24000549316406,161.63983154296875,3700500
2024-08-06,GEV,163.0800018310547,166.46499633789062,160.0,164.35000610351562,163.7420196533203,2799900
2024-08-07,GEV,168.66000366210938,172.75,164.69000244140625,166.07000732421875,165.45567321777344,3312800
2024-08-08,GEV,169.1999969482422,177.4600067138672,165.0500030517578,177.2100067138672,176.554443359375,2755800
2024-08-09,GEV,176.52000427246094,179.5500030517578,172.60000610351562,179.11000061035156,178.4474334716797,2766500
2024-08-12,GEV,178.49000549316406,180.5,174.38999938964844,176.44000244140625,175.7873077392578,1797800
2024-08-13,GEV,178.0500030517578,180.25999450683594,175.31500244140625,179.64999389648438,178.9854278564453,1551800
2024-08-14,GEV,180.0,185.19000244140625,178.25,184.16000366210938,183.47874450683594,2242700
