Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2015-01-02,TMO,126.30000305175781,128.49000549316406,126.16000366210938,128.1199951171875,123.7985610961914,2034700
2015-01-05,TMO,127.30999755859375,129.13999938964844,126.1500015258789,126.36000061035156,122.0979232788086,2430300
2015-01-06,TMO,126.36000061035156,128.19000244140625,124.54000091552734,125.18000030517578,120.95773315429688,2519300
2015-01-07,TMO,126.55999755859375,128.97000122070312,125.94000244140625,128.92999267578125,124.58126068115234,2098300
2015-01-08,TMO,129.4600067138672,131.05999755859375,129.4600067138672,130.27000427246094,125.8760757446289,2515800
2015-01-09,TMO,130.75999450683594,131.1199951171875,129.3300018310547,129.75,125.37356567382812,1912400
2015-01-12,TMO,130.11000061035156,130.6199951171875,128.3000030517578,128.5,124.1657485961914,1810400
2015-01-13,TMO,129.55999755859375,130.30999755859375,127.11000061035156,128.33999633789062,124.01117706298828,2090800
2015-01-14,TMO,126.94999694824219,127.37000274658203,125.08999633789062,126.19999694824219,121.9433364868164,2851500
2015-01-15,TMO,126.30000305175781,126.55000305175781,124.11000061035156,124.12999725341797,119.94314575195312,2722700
2015-01-16,TMO,123.70999908447266,125.51000213623047,123.29000091552734,125.29000091552734,121.06401062011719,2034100
2015-01-20,TMO,126.0,126.5,124.08999633789062,125.23999786376953,121.01573181152344,2270100
2015-01-21,TMO,125.0199966430664,126.36000061035156,124.87000274658203,125.36000061035156,121.13168334960938,1366700
2015-01-22,TMO,126.3499984741211,127.56999969482422,125.37999725341797,127.0,122.71636962890625,2953800
2015-01-23,TMO,126.7699966430664,127.06999969482422,124.76000213623047,124.87000274658203,120.65821075439453,1993800
2015-01-26,TMO,124.55999755859375,125.7699966430664,123.2699966430664,125.63999938964844,121.40221405029297,2032800
2015-01-27,TMO,124.16000366210938,125.8499984741211,124.12000274658203,124.87999725341797,120.6678695678711,1894300
2015-01-28,TMO,125.69999694824219,125.87999725341797,124.0,124.33999633789062,120.14605712890625,2401800
2015-01-29,TMO,123.36000061035156,128.72999572753906,121.54000091552734,127.95999908447266,123.64395141601562,4903000
2015-01-30,TMO,126.80999755859375,127.62000274658203,125.01000213623047,125.20999908447266,120.9867172241211,3513100
2015-02-02,TMO,125.48999786376953,125.91000366210938,123.19999694824219,125.88999938964844,121.64380645751953,1835600
2015-02-03,TMO,126.43000030517578,127.47000122070312,125.37999725341797,127.33000183105469,123.03524780273438,1797000
2015-02-04,TMO,126.8499984741211,128.02999877929688,126.02999877929688,126.3499984741211,122.0882568359375,1531100
2015-02-05,TMO,126.76000213623047,127.48999786376953,125.87000274658203,127.04000091552734,122.7550048828125,1472800
2015-02-06,TMO,127.0,127.23999786376953,124.31999969482422,124.80000305175781,120.5905532836914,1573400
2015-02-09,TMO,123.86000061035156,124.75,122.93000030517578,123.4000015258789,119.2377700805664,1357200
2015-02-10,TMO,124.08000183105469,125.16000366210938,123.62999725341797,125.02999877929688,120.81277465820312,1232300
2015-02-11,TMO,125.2699966430664,126.19000244140625,124.86000061035156,125.41999816894531,121.18963623046875,1313700
2015-02-12,TMO,126.76000213623047,127.08000183105469,125.5999984741211,126.83000183105469,122.55208587646484,1370700
2015-02-13,TMO,126.80999755859375,127.70999908447266,125.66000366210938,127.61000061035156,123.30577850341797,1543600
2015-02-17,TMO,127.0199966430664,128.1699981689453,126.19000244140625,128.02999877929688,123.71162414550781,1381400
2015-02-18,TMO,128.0,128.86000061035156,126.8499984741211,128.0,123.6826171875,1402100
2015-02-19,TMO,127.70999908447266,128.11000061035156,127.08999633789062,127.79000091552734,123.47972869873047,1266300
2015-02-20,TMO,127.41000366210938,131.22000122070312,127.1500015258789,131.1699981689453,126.74571228027344,2170700
2015-02-23,TMO,131.0,131.33999633789062,130.4499969482422,130.97999572753906,126.5621337890625,2086200
2015-02-24,TMO,130.82000732421875,131.9600067138672,130.27000427246094,131.85000610351562,127.40277862548828,1385700
2015-02-25,TMO,131.85000610351562,132.0,130.77999877929688,131.07000732421875,126.6490707397461,1285800
2015-02-26,TMO,130.75999450683594,131.14999389648438,129.8000030517578,130.13999938964844,125.75042724609375,1558400
2015-02-27,TMO,129.80999755859375,130.49000549316406,129.77999877929688,130.0,125.61515045166016,1070400
2015-03-02,TMO,130.0,131.57000732421875,129.63999938964844,131.35000610351562,126.91961669921875,1345500
2015-03-03,TMO,130.3800048828125,130.75999450683594,128.9600067138672,129.72999572753906,125.35425567626953,1460400
2015-03-04,TMO,129.66000366210938,129.66000366210938,128.75,128.88999938964844,124.54255676269531,1395500
2015-03-05,TMO,130.32000732421875,131.57000732421875,129.58999633789062,131.4600067138672,127.02591705322266,1544700
2015-03-06,TMO,130.75,130.86000061035156,128.24000549316406,128.50999450683594,124.17542266845703,1972900
2015-03-09,TMO,128.58999633789062,128.66000366210938,127.66999816894531,128.10000610351562,123.77925872802734,991300
2015-03-10,TMO,127.44999694824219,128.47000122070312,126.18000030517578,127.02999877929688,122.74534606933594,1735000
2015-03-11,TMO,127.5,128.5399932861328,127.25,127.94000244140625,123.62464904785156,1153300
2015-03-12,TMO,128.50999450683594,129.3000030517578,127.98999786376953,128.60000610351562,124.40827941894531,1251800
2015-03-13,TMO,128.39999389648438,129.5399932861328,126.61000061035156,127.41999816894531,123.2667007446289,1209600
2015-03-16,TMO,129.38999938964844,133.0,129.38999938964844,132.97000122070312,128.6357879638672,2313300
2015-03-17,TMO,132.5500030517578,132.82000732421875,130.4199981689453,132.35000610351562,128.0360107421875,1544000
2015-03-18,TMO,132.16000366210938,134.6199951171875,131.11000061035156,133.88999938964844,129.5258026123047,1907000
2015-03-19,TMO,133.77999877929688,135.00999450683594,133.77000427246094,134.75999450683594,130.367431640625,1638800
2015-03-20,TMO,135.8800048828125,136.8800048828125,134.85000610351562,136.6300048828125,132.17649841308594,2666300
2015-03-23,TMO,136.36000061035156,138.5,135.6199951171875,137.8699951171875,133.3760528564453,1830300
2015-03-24,TMO,137.3699951171875,139.02999877929688,135.5800018310547,135.64999389648438,131.22842407226562,5124400
2015-03-25,TMO,135.64999389648438,136.9199981689453,133.60000610351562,133.7100067138672,129.35171508789062,1805500
2015-03-26,TMO,132.6699981689453,133.97000122070312,132.2100067138672,133.07000732421875,128.7325897216797,1200800
2015-03-27,TMO,133.24000549316406,134.52000427246094,133.17999267578125,133.69000244140625,129.332275390625,1104700
2015-03-30,TMO,134.58999633789062,135.8000030517578,134.27999877929688,135.57000732421875,131.1510772705078,1306400
2015-03-31,TMO,134.5500030517578,136.24000549316406,134.17999267578125,134.33999633789062,129.96115112304688,1431700
2015-04-01,TMO,134.6699981689453,134.72000122070312,131.2899932861328,132.0,127.69746398925781,1801400
2015-04-02,TMO,132.25999450683594,133.67999267578125,131.89999389648438,133.11000061035156,128.77125549316406,841100
2015-04-06,TMO,132.4600067138672,134.14999389648438,132.27000427246094,133.5,129.1485137939453,980200
2015-04-07,TMO,133.9600067138672,135.0,133.02000427246094,133.02000427246094,128.68418884277344,945600
2015-04-08,TMO,133.0,134.16000366210938,132.11000061035156,132.82000732421875,128.49073791503906,1268600
2015-04-09,TMO,132.91000366210938,133.8800048828125,132.42999267578125,133.57000732421875,129.2162322998047,750600
2015-04-10,TMO,133.42999267578125,134.4499969482422,132.9199981689453,133.72999572753906,129.37106323242188,820000
2015-04-13,TMO,133.2899932861328,134.24000549316406,132.72000122070312,132.72000122070312,128.39395141601562,810600
2015-04-14,TMO,132.72000122070312,133.1699981689453,132.0800018310547,132.67999267578125,128.35523986816406,1073500
2015-04-15,TMO,133.16000366210938,133.97999572753906,132.97999572753906,133.6199951171875,129.2646026611328,944000
2015-04-16,TMO,133.25999450683594,133.52999877929688,132.30999755859375,132.49000549316406,128.1714630126953,1547400
2015-04-17,TMO,131.80999755859375,132.2899932861328,130.8699951171875,132.10000610351562,127.79423522949219,2040300
2015-04-20,TMO,133.22999572753906,134.5399932861328,133.1699981689453,134.02999877929688,129.66127014160156,1378600
2015-04-21,TMO,134.27999877929688,135.17999267578125,133.55999755859375,134.44000244140625,130.0579071044922,1758200
